time_steps,reward ep.,length
327680,19721130.189775668,301.0
655360,19761086.541751944,301.0
983040,19725651.36052974,301.0
1310720,19787861.064428974,301.0
1638400,19741515.02954298,301.0
1966080,19787442.575834528,301.0
2293760,19746458.022995193,301.0
2621440,19783616.24578443,301.0
2949120,19744905.924545277,301.0
3276800,19793886.827922642,301.0
3604480,19778415.497330595,301.0
3932160,19817439.957614042,301.0
4259840,19777451.73537789,301.0
4587520,19821933.93284046,301.0
4915200,19789113.901181664,301.0
5242880,19829071.443426423,301.0
5570560,19777664.649100356,301.0
5898240,19832221.82045712,301.0
6225920,19806386.65609008,301.0
6553600,19841234.884603877,301.0
6881280,19799084.62520691,301.0
7208960,19845192.46850683,301.0
7536640,19796208.842997223,301.0
7864320,19903699.940730464,301.0
8192000,19808929.860218577,301.0
8519680,19867423.69122798,301.0
8847360,19821392.942203782,301.0
