time_steps,reward ep.,length
327680,16.194281138023882,601.0
655360,16.127208094809724,601.0
983040,16.593323564682922,601.0
1310720,17.313771074950452,601.0
1638400,18.344045791676354,601.0
1966080,19.385475421152034,601.0
2293760,19.849220440737657,601.0
2621440,19.71654338162159,601.0
2949120,21.49718972181321,601.0
3276800,22.100559935533067,601.0
3604480,25.12844866298976,601.0
3932160,26.57561744667361,601.0
4259840,26.37464066131067,601.0
4587520,28.58503141166114,601.0
4915200,30.617391186905543,601.0
5242880,29.21971277459639,601.0
5570560,30.538254662553754,601.0
5898240,29.62964358980517,601.0
6225920,32.27390617261098,601.0
6553600,28.08501279149478,601.0
6881280,32.46923244001028,601.0
7208960,34.62927399668728,601.0
7536640,32.31101464999394,601.0
7864320,31.555853099502343,601.0
8192000,32.08190799347842,601.0
8519680,29.6499663730793,601.0
8847360,31.548431753114556,601.0
9175040,34.2988147914559,601.0
9502720,23.598901859295303,601.0
9830400,26.40102336310889,601.0
10158080,26.511679483032744,601.0
10485760,27.092615992234546,601.0
10813440,28.811048984629373,569.8
11141120,34.69166722322359,601.0
11468800,37.595704608376,601.0
11796480,31.061745051575656,601.0
12124160,30.67656070988256,601.0
12451840,33.79993229440852,601.0
12779520,28.851440014955692,601.0
13107200,33.8865044754254,601.0
13434880,37.75595535680755,601.0
13762560,33.60653571789519,601.0
14090240,29.75637471635485,538.2
14417920,38.608378079568546,588.8
14745600,22.912448261180145,530.4
15073280,19.973159944860633,413.2
15400960,22.075328275327973,510.0
15728640,24.425542940696356,601.0
16056320,26.163768538474606,506.2
16384000,27.606451884454277,601.0
16711680,27.2731399285989,601.0
17039360,25.153400038222458,554.0
17367040,31.6730654186192,601.0
17694720,34.394996965154654,601.0
18022400,33.157889867565984,568.4
18350080,22.170789594902427,499.2
18677760,26.23970301726161,512.4
19005440,29.10609274377091,601.0
19333120,28.81941363970582,517.4
19660800,25.27556950907849,519.2
19988480,29.41297570259004,535.2
20316160,17.65317293442129,442.4
20643840,23.78939714421708,403.2
20971520,25.56667232408708,476.0
21299200,24.278294280834977,496.8
21626880,19.673710914854105,458.4
21954560,25.503226670624205,581.6
22282240,12.386747448382604,322.8
22609920,32.63499141040118,545.6
22937600,30.658783716201093,601.0
23265280,23.85945797055116,549.4
23592960,38.720200595118186,508.0
23920640,21.356847577994294,562.4
24248320,31.60094860391704,500.8
24576000,15.645118006050751,274.4
24903680,22.315117193405523,491.6
25231360,17.035722297163392,382.0
25559040,18.75110387615997,490.8
25886720,28.32429392653693,601.0
26214400,26.388073691884586,549.0
26542080,28.59734501719335,564.4
26869760,22.357101455858903,416.0
27197440,26.585234699856347,532.8
27525120,22.76573076765056,482.4
27852800,32.89210958307283,518.8
28180480,29.393739797456362,526.4
28508160,30.64518293117527,588.8
28835840,17.95687009452873,438.4
29163520,24.535974106805547,574.8
29491200,17.33511906013822,360.4
29818880,21.293331063183143,436.0
