time_steps,reward ep.,length
327680,0.316,401.0
655360,1.254,401.0
983040,4.372,397.4
1310720,5.99,322.8
1638400,6.0,276.0
1966080,5.99,251.6
2293760,7.606,238.4
2621440,5.996,210.0
2949120,6.0059999999999985,197.6
3276800,6.008,196.0
3604480,6.794,175.8
3932160,6.006,167.0
4259840,5.988,159.2
4587520,5.054,129.2
4915200,309.86799999999863,210.2
5242880,7.606,134.6
5570560,5.994,138.4
5898240,7.601999999999999,127.2
6225920,7.617999999999999,130.0
6553600,6.8180000000000005,126.8
6881280,5.988,124.0
7208960,9.28,122.8
7536640,6.828,117.6
7864320,4.376,109.2
8192000,8.44,120.2
8519680,6.016,117.0
8847360,7.640000000000001,114.0
9175040,6.825999999999999,106.4
9502720,5.965999999999999,104.8
9830400,6.8740000000000006,102.0
10158080,4.304,96.8
10485760,8.452,100.0
10813440,6.8340000000000005,113.2
11141120,6.05,103.8
11468800,103.74599999999998,124.0
11796480,6.046,105.8
12124160,6.836,99.6
12451840,11.772,100.8
12779520,10.114,101.2
13107200,6.638,93.2
13434880,937.4539999999863,329.2
13762560,9.314,98.8
14090240,9.338000000000001,103.4
14417920,6.052,99.0
14745600,6.861999999999999,100.4
15073280,11.7,92.0
15400960,7.636,95.6
15728640,6.857999999999999,91.8
16056320,11.074,100.4
16384000,13.448000000000002,98.4
16711680,6.794,96.4
17039360,6.064,99.4
17367040,10.136,96.4
17694720,7.6259999999999994,95.6
18022400,10.922,106.2
18350080,9.946000000000002,98.4
18677760,7.621999999999998,97.0
19005440,7.559999999999998,110.8
19333120,5.194,97.2
19660800,9.312000000000001,91.2
19988480,5.192,100.4
20316160,5.986,108.4
20643840,7.536,102.8
20971520,11.094,107.6
21299200,5.645999999999999,98.8
21626880,10.121999999999998,116.4
21954560,5.023999999999999,121.6
22282240,7.575999999999999,89.2
22609920,10.193999999999999,101.2
22937600,2.428,99.6
23265280,14.392000000000001,109.8
23592960,5.0779999999999985,119.0
23920640,9.294,112.4
24248320,5.098,104.8
24576000,12.142,117.2
24903680,4.951999999999999,100.8
25231360,4.882,119.2
25559040,6.023999999999999,106.0
25886720,10.93,108.4
26214400,6.04,110.0
26542080,11.001999999999999,98.0
26869760,5.9479999999999995,86.4
27197440,1030.4919999999925,317.6
27525120,7.4,91.4
27852800,9.228000000000002,85.0
28180480,10.908000000000001,112.2
28508160,12.617999999999999,93.6
28835840,5.9879999999999995,89.8
29163520,387.4139999999996,178.4
29491200,8.456,100.4
29818880,14.404000000000002,94.8
