time_steps,reward ep.,length
327680,0.37399999999999994,401.0
655360,0.9460000000000001,401.0
983040,1.768,401.0
1310720,5.188000000000001,377.2
1638400,6.802000000000001,286.0
1966080,5.997999999999999,241.2
2293760,5.986,217.6
2621440,7.612,205.6
2949120,7.601999999999999,197.2
3276800,6.012,191.6
3604480,5.998,174.4
3932160,6.0040000000000004,162.8
4259840,5.9959999999999996,157.2
4587520,5.99,153.2
4915200,6.795999999999999,152.2
5242880,6.794,149.8
5570560,7.63,152.4
5898240,8.43,157.6
6225920,7.634,136.4
6553600,6.81,136.4
6881280,6.81,143.2
7208960,7.606,128.4
7536640,9.241999999999999,130.8
7864320,5.991999999999999,141.6
8192000,10.072,134.8
8519680,8.440000000000001,138.4
8847360,7.590000000000001,137.2
9175040,6.812,142.4
9502720,9.225999999999999,142.8
9830400,6.0120000000000005,139.2
10158080,14.974,135.6
10485760,6.8,151.8
10813440,5.906,125.0
11141120,8.440000000000001,135.2
11468800,9.280000000000001,122.8
11796480,7.639999999999999,121.2
12124160,12.472000000000001,115.8
12451840,5.076,106.6
12779520,13.416,114.8
13107200,9.198,110.8
13434880,6.040000000000001,113.2
13762560,9.368,113.2
14090240,9.354,114.6
14417920,8.442,114.2
14745600,4.864,116.8
15073280,7.673999999999998,111.0
15400960,6.808,110.2
15728640,10.079999999999998,110.0
16056320,13.416,116.4
16384000,5.9879999999999995,111.6
16711680,15.904,115.2
17039360,7.6819999999999995,111.2
17367040,9.414000000000001,108.4
17694720,7.65,113.6
18022400,6.831999999999999,115.6
18350080,9841.05599999964,2223.6
18677760,6.8,115.4
19005440,5.167999999999999,105.0
19333120,5.1819999999999995,119.2
19660800,5.994000000000001,116.4
19988480,5.1739999999999995,107.6
20316160,6.836,124.6
20643840,7.574,114.6
20971520,3.3340000000000005,111.6
21299200,7.589999999999999,104.8
21626880,6.802,110.0
21954560,9.372,110.4
22282240,5.978,104.4
22609920,7.696,103.2
22937600,9.206,88.0
23265280,4.954,98.0
23592960,7.602000000000001,100.4
23920640,6.83,108.8
24248320,4.128,96.8
24576000,4.974000000000001,98.8
24903680,10.148,120.2
25231360,6.7780000000000005,108.2
25559040,6.004,116.4
25886720,6.036,119.2
26214400,6.832000000000001,113.6
26542080,9.982,125.2
26869760,5.154000000000001,110.4
27197440,9.290000000000001,116.4
27525120,5.17,112.4
27852800,5.991999999999999,112.4
28180480,4.916000000000001,107.2
28508160,1908.6420000000048,512.0
28835840,5.180000000000001,120.4
29163520,5.958,100.4
29491200,4291.960000000019,967.2
29818880,8.266,124.4
