time_steps,reward ep.,length
327680,-0.4359999999999996,99.8
655360,-0.4699999999999999,110.4
983040,-0.029999999999999714,301.0
1310720,0.3120000000000001,196.2
1638400,0.5539999999999999,88.0
1966080,0.514,61.6
2293760,0.5439999999999998,59.6
2621440,0.6,57.2
2949120,0.6359999999999996,55.6
3276800,0.7020000000000003,58.4
3604480,0.7440000000000001,58.0
3932160,0.818,59.6
4259840,0.8560000000000002,60.4
4587520,0.9,62.0
4915200,0.884,62.0
5242880,0.9760000000000002,68.4
5570560,0.9640000000000001,64.0
5898240,1.012,69.2
6225920,0.9919999999999994,65.6
6553600,1.2600000000000002,76.0
6881280,1.248,79.6
7208960,1.2,72.0
7536640,1.2560000000000002,76.8
7864320,1.3179999999999996,76.4
8192000,1.2640000000000005,77.2
8519680,1.4120000000000001,86.8
8847360,1.6600000000000001,92.0
9175040,1.488,83.6
9502720,1.7720000000000002,98.8
9830400,1.688,90.0
10158080,2.0360000000000005,118.0
10485760,1.332,86.8
10813440,1.984,106.0
11141120,2.3600000000000003,114.4
11468800,2.476,120.0
11796480,2.0340000000000003,101.2
12124160,2.62,151.2
12451840,2.0319999999999996,101.2
12779520,2.342,130.4
13107200,2.288,113.2
13434880,2.5639999999999996,134.0
13762560,2.6039999999999996,120.4
14090240,3.4160000000000004,152.8
14417920,2.2600000000000002,112.0
14745600,3.1239999999999997,148.4
15073280,2.482,151.2
15400960,3.062,166.8
15728640,3.0860000000000003,136.8
16056320,3.3819999999999992,172.4
16384000,3.6,164.4
16711680,2.87,130.0
17039360,2.974,142.8
17367040,3.7439999999999998,165.2
17694720,3.17,140.0
18022400,3.4120000000000004,165.6
18350080,3.8980000000000006,181.6
18677760,3.88,201.2
19005440,3.7040000000000006,196.0
19333120,4.312,208.8
19660800,3.85,174.0
19988480,4.446,198.8
20316160,3.4479999999999995,158.0
20643840,3.742,156.0
20971520,3.568,148.4
21299200,3.418,147.2
21626880,4.322,240.0
21954560,2.462,110.8
22282240,2.988,150.0
22609920,3.4520000000000004,164.4
22937600,3.004,158.8
23265280,3.184,134.0
23592960,2.974,162.8
23920640,2.908,157.6
24248320,3.7359999999999998,168.4
24576000,3.8040000000000007,157.6
24903680,3.134,178.0
25231360,4.116,194.4
25559040,3.532000000000001,149.2
25886720,3.628,150.0
26214400,4.574,182.4
26542080,4.023999999999999,174.4
26869760,3.853999999999999,169.6
27197440,3.614,144.4
27525120,2.726,119.6
27852800,3.5340000000000003,166.4
28180480,3.316,144.4
28508160,5.204,242.0
28835840,3.7979999999999996,148.0
29163520,3.016,132.8
29491200,5.192,212.0
29818880,3.364,133.2
