time_steps,reward ep.,length
327680,0.34399999999999975,401.0
655360,0.9940000000000001,285.6
983040,0.9880000000000002,184.0
1310720,1.002,152.0
1638400,0.9800000000000004,113.6
1966080,1.0159999999999996,103.6
2293760,1.0099999999999998,88.4
2621440,1.0179999999999996,85.2
2949120,1.0239999999999996,76.8
3276800,1.045999999999999,78.2
3604480,1.1219999999999992,69.4
3932160,0.9960000000000001,76.0
4259840,1.0099999999999993,75.2
4587520,1.051999999999999,70.8
4915200,1.1239999999999992,67.2
5242880,1.0919999999999992,72.8
5570560,0.9799999999999998,73.6
5898240,1.0219999999999991,68.8
6225920,1.0260000000000002,74.4
6553600,120.95999999999984,310.0
6881280,1.096,69.2
7208960,0.952,67.2
7536640,1.0079999999999998,68.8
7864320,1.168,69.2
8192000,1.1859999999999982,66.8
8519680,0.9999999999999997,68.4
8847360,1.2759999999999985,67.0
9175040,109.60599999999957,367.0
9502720,1.1779999999999984,67.2
9830400,1.1319999999999992,69.8
10158080,1.0319999999999994,75.0
10485760,1.1099999999999994,76.4
10813440,1.5559999999999985,75.8
11141120,1.297999999999999,83.0
11468800,1.2840000000000011,79.4
11796480,1.0799999999999983,87.6
12124160,1.7659999999999996,78.8
12451840,6.7459999999999996,104.2
12779520,1.127999999999999,80.0
13107200,1.0040000000000002,85.6
13434880,0.8519999999999992,78.0
13762560,213.45399999999955,323.4
14090240,465.2520000000016,367.4
14417920,1.1000000000000008,74.8
14745600,1.0079999999999996,74.0
15073280,1.0999999999999992,87.2
15400960,1.3579999999999983,76.2
15728640,1.1639999999999993,77.6
16056320,0.9999999999999997,89.0
16384000,1.2779999999999998,79.2
16711680,0.9740000000000002,76.4
17039360,1.1520000000000004,66.0
17367040,1.051999999999999,94.4
17694720,180.83600000000038,404.0
18022400,1.0859999999999999,72.8
18350080,1.0260000000000002,79.6
18677760,1.0400000000000003,76.0
19005440,115.7460000000001,282.4
19333120,1.0919999999999992,74.0
19660800,0.954,68.4
19988480,1.3799999999999986,73.8
20316160,1.2139999999999997,71.8
20643840,1.084,64.4
20971520,0.9260000000000002,56.0
21299200,32.139999999999944,170.4
21626880,0.9419999999999998,76.4
21954560,0.8940000000000001,77.4
22282240,0.8999999999999997,72.2
22609920,0.7500000000000007,65.4
