time_steps,reward ep.,length
327680,41.07635120484681,167.8
655360,42.13644046220196,168.0
983040,38.59007124660947,143.6
1310720,28.435996488177476,126.8
1638400,42.1555593719568,175.6
1966080,47.82236246092433,194.8
2293760,57.17883972676909,212.0
2621440,49.58589898680083,198.0
2949120,35.17962918390605,168.0
3276800,34.04722443501201,160.4
3604480,40.30710244924863,180.0
3932160,55.57763437970904,209.2
4259840,45.7407590029239,170.4
4587520,44.93362818874293,182.0
4915200,38.82608347244602,163.6
5242880,42.49484886873397,162.8
5570560,15.02931071990491,100.0
5898240,18.688795914221487,121.6
6225920,32.5176300563333,170.4
6553600,41.188831059673596,188.4
6881280,10.181676671687635,90.4
7208960,28.0206866188773,150.0
7536640,35.517869461502926,161.2
7864320,29.02488947337082,159.2
8192000,37.04776856842485,174.4
8519680,34.21032440301842,177.2
8847360,30.683554111355278,166.8
9175040,40.770576765092244,187.2
9502720,34.78640143417037,187.2
9830400,42.11139570356439,187.2
10158080,50.021194479838314,217.2
10485760,45.02652028024766,192.0
10813440,25.609649852588625,148.4
11141120,33.69470662409153,186.0
11468800,31.802982172090765,130.4
11796480,35.210142526238684,162.8
12124160,27.325533649993766,143.6
12451840,33.14127073727027,166.4
12779520,22.904189624276068,154.0
13107200,38.6391524489907,193.2
13434880,31.623951494430298,182.4
13762560,18.521154174152176,137.6
14090240,33.48608927762657,136.4
14417920,36.48260922052214,174.4
14745600,19.359251633339863,136.4
15073280,22.926456008272876,158.4
15400960,22.15229148267646,142.0
15728640,35.849588362090586,173.2
16056320,25.513658553807055,173.2
16384000,26.994705934737873,156.4
16711680,25.85940285322676,160.0
17039360,34.80485447035325,185.2
17367040,25.175641427859563,146.0
17694720,11.20821338169553,115.6
18022400,26.03361014933813,138.8
18350080,11.621742466148728,120.4
18677760,30.743510185764052,162.4
19005440,37.01211972319737,181.6
19333120,37.63144927857411,218.0
19660800,5.2889008892697005,93.6
19988480,14.36130571190733,134.0
20316160,20.298129212276024,144.8
20643840,25.4927981880514,144.0
20971520,21.47938441946397,143.6
21299200,17.668802198231308,150.0
21626880,37.948088822473586,213.6
21954560,19.067734889192668,130.0
22282240,14.370937103709707,125.2
22609920,17.153345228546122,135.2
22937600,31.68582665298019,180.4
23265280,35.27670400088257,196.8
23592960,27.625326951338923,179.2
23920640,18.82808572323658,150.8
24248320,10.909214589799436,124.8
24576000,22.738790716444665,144.0
24903680,24.871748884704015,165.6
25231360,17.880897481628217,148.0
25559040,38.06076969796116,198.4
25886720,30.73244463194025,185.2
26214400,33.64338864497581,197.6
26542080,19.046914365672905,142.0
26869760,27.156590277604938,167.2
27197440,36.62132750609528,196.0
27525120,18.81582165407285,154.0
27852800,13.847570278064774,113.6
28180480,19.44017380302687,152.4
28508160,30.297615426563745,201.2
28835840,27.484298679558712,196.4
29163520,19.608612143479302,152.4
29491200,30.23598940675232,189.2
29818880,17.22206668964783,142.4
