time_steps,reward ep.,length
327680,45.42809420603653,301.0
655360,48.74861491935211,301.0
983040,49.692703803231446,301.0
1310720,53.00808196698763,301.0
1638400,57.465831963616964,301.0
1966080,63.14856913400051,301.0
2293760,71.87908235437956,301.0
2621440,74.9391655208931,301.0
2949120,87.68903048898574,301.0
3276800,97.48900471374182,301.0
3604480,107.67732097609147,301.0
3932160,114.17603244482845,301.0
4259840,136.3889569474165,301.0
4587520,140.6192254390413,301.0
4915200,138.02945657516983,301.0
5242880,151.26049604962807,301.0
5570560,175.7730720226412,301.0
5898240,162.64271002620293,301.0
6225920,199.27484420107368,301.0
6553600,214.98389951819087,301.0
6881280,217.56758489666163,301.0
7208960,219.70599534860207,301.0
7536640,222.10380069341818,301.0
7864320,181.32110933343546,292.8
8192000,255.7865505052116,301.0
8519680,203.25059293367795,281.4
8847360,267.4562185937284,301.0
9175040,296.4681797168145,301.0
9502720,252.77418367211985,301.0
9830400,220.95306096598034,271.8
10158080,267.91795479367175,301.0
10485760,324.5485463624793,301.0
10813440,286.9012712055463,272.8
11141120,414.9981867546873,301.0
11468800,438.3590427443025,301.0
11796480,369.09970323620917,289.6
12124160,298.4013014916629,301.0
12451840,289.3424043647789,293.0
12779520,346.13082366757874,301.0
13107200,385.5940471126181,291.0
13434880,344.2960045622564,301.0
13762560,343.56714666288343,300.2
14090240,389.1027696411455,301.0
14417920,366.5841935423108,296.6
14745600,519.4288021198261,299.2
15073280,505.8386168107486,301.0
15400960,457.94395446768976,301.0
15728640,413.08780562540295,283.6
16056320,475.9773728570858,296.8
16384000,506.8219105706238,301.0
16711680,552.4454405292444,301.0
17039360,540.4114822586071,301.0
17367040,575.7404567395645,297.4
17694720,594.2712709977641,291.2
18022400,549.8874803144478,290.8
18350080,610.6570070587644,300.0
18677760,507.64776564861194,261.6
19005440,538.6045071188876,301.0
19333120,827.290298994327,294.6
19660800,623.9335239399353,288.4
19988480,646.709281265577,297.2
20316160,770.2339557720849,294.4
20643840,652.1800522469878,301.0
20971520,576.926246125325,294.6
21299200,535.5459484521423,286.8
21626880,727.6812998714593,300.4
21954560,611.4622628112692,301.0
22282240,655.4253256890639,298.6
22609920,726.3547896526728,296.0
22937600,564.8722528278928,294.0
23265280,719.2416637467857,292.8
23592960,618.9490474928438,287.6
23920640,577.2770080186368,258.0
24248320,568.9138129111765,301.0
24576000,764.7600974454507,301.0
24903680,701.4505126825404,293.2
25231360,660.7053210541839,292.4
25559040,515.1662865474798,275.6
25886720,582.8628299825707,250.4
26214400,490.0989022609557,284.0
26542080,863.1919894678697,301.0
26869760,801.5141136903251,301.0
27197440,763.4706756964102,300.8
27525120,647.2277211730275,296.4
27852800,486.9067462316464,286.0
28180480,703.3424133791756,301.0
28508160,833.5328632668472,288.2
28835840,415.43585561996787,257.2
29163520,628.2117851827608,243.2
29491200,1084.3713632679758,301.0
